index,vcenter,vrange,vmin,vmax,num_of_features,a_fitness,training_score,test_score
00,4.0,+0.0,,,,,,
01,4.0,+0.4,3.8,4.2,71,0.7177,0.7406,0.6350
02,4.0,+0.8,3.6,4.4,74,0.6908,0.7108,0.7550
03,4.0,+1.2,3.4,4.6,79,0.7054,0.7357,0.6567
04,4.0,+1.6,3.2,4.8,78,0.6986,0.7259,0.7000
05,4.0,+2.0,3.0,5.0,72,0.7089,0.7308,0.6783
06,4.0,+2.4,2.8,5.2,77,0.7153,0.7455,0.6133
07,4.0,+2.8,2.6,5.4,74,0.6829,0.7010,0.7914
08,4.0,+3.2,2.4,5.6,79,0.7015,0.7308,0.6783
09,4.0,+3.6,2.2,5.8,72,0.6850,0.7010,0.7914
10,4.0,+4.0,2.0,6.0,77,0.6997,0.7259,0.7000
11,4.0,+4.4,1.8,6.2,77,0.6917,0.7159,0.7367
12,4.0,+4.8,1.6,6.4,86,0.6982,0.7360,0.7000
13,4.0,+5.2,1.4,6.6,80,0.6845,0.7108,0.7550
14,4.0,+5.6,1.2,6.8,78,0.7026,0.7308,0.6783
15,4.0,+6.0,1.0,7.0,68,0.7053,0.7211,0.7183
16,4.0,+6.4,0.8,7.2,74,0.7029,0.7259,0.7000
17,4.0,+6.8,0.6,7.4,72,0.6888,0.7057,0.7733
18,4.0,+7.2,0.4,7.6,74,0.6908,0.7108,0.7550
19,4.0,+7.6,0.2,7.8,72,0.7050,0.7259,0.7000
